model,scores
random,7000 6000 3000 2000 3000 14000 12000 2000 14000 2000 6000 1000 24000 8000 1000 4000 13000 18000 8000 26000 24000 6000 11000 2000 19000 2000 3000 10000 2000 4000 4000 2000 66000 7000 5000 12000 5000 4000 3000 26000 28000 2000 7000 17000 20000 4000 2000 74000 7000 24000 17000 15000 21000 9000 24000 5000 17000 8000 5000 30000 3000 7000 13000 9000 14000 6000 23000 13000 14000 16000 2000 10000 18000 20000 18000 4000 4000 5000 2000 5000 4000 19000 9000 12000 4000 7000 14000 0 10000 2000 2000 10000 6000 14000 7000 9000 7000 4000 39000 26000 2000 8000 3000 4000 3000 7000 24000 4000 46000 5000 5000 10000 5000 4000 9000 2000 19000 30000 6000 6000 4000 12000 1000 4000 4000 14000 8000 6000 7000 65000 3000 2000 5000 7000 1000 10000 7000 42000 3000 5000 7000 7000 5000 5000 2000 27000 16000 14000 4000 26000 33000 1000 4000 4000 8000 6000 9000 2000 2000 3000 4000 8000 9000 5000 3000 5000 5000 9000 57000 3000 8000 9000 10000 19000 7000 3000 3000 6000 3000 7000 22000 1000 4000 4000 21000 20000 15000 6000 24000 9000 4000 4000 10000 5000 12000 18000 34000 7000 13000 5000
manual,260000 320000 314000 129000 142000 298000 354000 330000 172000 333000 130000 289000 80000 68000 105000 438000 45000 90000 325000 62000 202000 93000 437000 34000 70000 71000 97000 13000 428000 220000 200000 185000 40000 43000 350000 256000 207000 298000 30000 311000 42000 91000 52000 64000 454000 94000 281000 143000 355000 58000 217000 193000 40000 72000 102000 79000 94000 369000 221000 153000 443000 127000 66000 100000 116000 234000 18000 281000 70000 123000 98000 135000 327000 52000 301000 368000 390000 213000 389000 264000 53000 386000 318000 154000 67000 302000 249000 267000 90000 210000 484000 91000 354000 337000 0 430000 641000 120000 112000 298000 464000 183000 341000 408000 380000 313000 57000 439000 109000 246000 348000 307000 320000 96000 61000 164000 156000 478000 453000 76000 245000 110000 129000 123000 69000 309000 433000 364000 340000 376000 299000 317000 291000 102000 348000 125000 139000 207000 110000 147000 397000 383000 384000 315000 410000 196000 51000 85000 308000 316000 453000 61000 70000 143000 459000 304000 127000 465000 343000 268000 219000 314000 317000 503000 416000 145000 391000 355000 136000 85000 106000 31000 359000 343000 329000 143000 369000 389000 439000 147000 96000 256000 436000 241000 338000 208000 81000 369000 341000 183000 482000 249000 123000 406000 286000 371000 335000 455000 450000 329000
